SL,ST,ET,EL,Energy used
PC_5,5:57,6:27,HED_E,20.1809998
PC_5,18:17,18:47,HED_E,20.1809998
PC_5,8:37,9:08,HED_E,20.1809998
PC_5,14:57,15:28,HED_E,20.1809998
PC_5,13:37,14:08,HED_E,20.1809998
PC_5,22:57,23:25,HED_E,20.1809998
PC_5,17:37,18:08,HED_E,20.1809998
PC_5,12:57,13:28,HED_E,20.1809998
PC_5,15:57,16:29,HED_E,20.1809998
PC_5,8:07,8:40,HED_E,20.1809998
PC_5,22:27,22:55,HED_E,20.1809998
PC_5,6:47,7:19,HED_E,20.1809998
PC_5,7:57,8:30,HED_E,20.1809998
PC_5,11:57,12:28,HED_E,20.1809998
PC_5,11:57,12:28,HED_E,20.1809998
PC_5,9:57,10:28,HED_E,20.1809998
PC_5,16:57,17:28,HED_E,20.1809998
PC_5,14:37,15:08,HED_E,20.1809998
PC_5,23:57,24:24,HED_E,20.1809998
PC_5,7:17,7:50,HED_E,20.1809998
PC_5,21:27,21:55,HED_E,20.1809998
PC_5,17:17,17:48,HED_E,20.1809998
PC_5,18:37,19:07,HED_E,20.1809998
PC_5,11:17,11:48,HED_E,20.1809998
PC_5,16:37,17:08,HED_E,20.1809998
PC_5,13:17,13:48,HED_E,20.1809998
PC_5,7:07,7:39,HED_E,20.1809998
PC_5,10:17,10:48,HED_E,20.1809998
JON_A,19:59,20:12,PC_9,12.342
JON_A,19:29,19:42,PC_9,12.342
PC_7,23:57,24:14,JON_B,10.2790003
PC_7,14:37,14:54,JON_B,10.2790003
PC_7,12:17,12:34,JON_B,10.2790003
PC_7,17:57,18:14,JON_B,10.2790003
ÖS_H,12:05,12:27,PC_6,16.4099998
ÖS_H,18:35,18:57,PC_6,16.4099998
ÖS_H,12:35,12:57,PC_6,16.4099998
ÖS_H,15:34,15:57,PC_6,16.4099998
ÖS_H,14:35,14:57,PC_6,16.4099998
3127,7:53,8:07,13215,19.4699993
3127,8:13,8:27,13215,19.4699993
3127,7:22,7:36,13215,19.4699993
PC_9,17:27,17:44,JON_B,12.3870001
PC_9,16:47,17:04,JON_B,12.3870001
PC_9,18:47,19:02,JON_B,12.3870001
PC_9,18:27,18:42,JON_B,12.3870001
PC_9,21:12,21:27,JON_B,12.3870001
ÖS_H,23:36,23:57,PC_6,16.4099998
ÖS_H,13:35,13:57,PC_6,16.4099998
ÖS_H,17:34,17:57,PC_6,16.4099998
ÖS_H,24:06,24:27,PC_6,16.4099998
ÖS_H,7:04,7:27,PC_6,16.4099998
ÖS_H,8:34,8:57,PC_6,16.4099998
