tariff,terminal_policy,arm,matched_feasible_duties,station,start_min,end_min,active_buses,load_kW
peak12,>= reserve,uncapped_arrival,39,4808_0,1050.0,1057.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1060.0,1067.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1070.0,1077.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1080.0,1087.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1090.0,1097.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1100.0,1107.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1110.0,1118.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1118.0,1120.625,2,480.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1120.625,1122.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1128.0,1136.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1139.0,1140.95,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1149.0,1153.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1161.0,1168.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1172.0,1182.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1185.0,1195.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1200.0,1210.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1215.0,1225.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1230.0,1240.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1245.0,1255.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1260.0,1272.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1275.0,1276.95,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1290.0,1291.95,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1305.0,1315.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1325.0,1335.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1345.0,1355.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1365.0,1375.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1385.0,1395.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1404.0,1416.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1423.0,1424.95,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1441.0,1446.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1463.0,1473.625,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1493.0,1494.95,1,240.0
peak12,>= reserve,uncapped_arrival,39,4808_0,1523.0,1524.95,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,352.0,356.99174995,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,383.0,394.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,413.0,424.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,444.0,452.83324933,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,472.0,474.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,474.0,480.614749465,2,480.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,480.614749465,484.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,504.0,514.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,534.0,545.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,563.0,575.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,593.0,605.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,653.0,660.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,775.0,782.3377492550001,1,240.0
peak12,>= reserve,uncapped_arrival,39,7880C_0,833.0,838.826998865,1,240.0
