station,minute,compressed_row
4808,715,201
4808,716,201
4808,717,202
4808,718,202
4808,719,203
4808,720,203
4808,721,204
4808,722,205
4808,723,205
4808,724,205
4808,725,206
4808,726,207
4808,727,208
4808,728,208
4808,729,208
4808,730,208
4808,731,208
4808,732,208
4808,733,208
4808,734,209
4808,735,209
4808,736,209
4808,737,209
4808,738,209
4808,739,209
4808,740,209
4808,741,209
4808,742,209
4808,743,209
4808,744,209
4808,745,209
4808,746,209
4808,747,210
4808,748,210
4808,749,210
4808,750,210
4808,751,210
4808,752,211
4808,753,211
4808,754,211
4808,755,212
4808,756,213
4808,757,214
4808,758,215
4808,759,215
4808,760,216
4808,761,216
4808,762,216
4808,763,216
4808,764,216
4808,765,216
4808,766,216
4808,767,217
4808,768,217
4808,769,217
4808,770,217
4808,771,217
4808,772,217
4808,773,217
4808,774,218
4808,775,218
4808,776,218
4808,777,218
4808,778,219
4808,779,219
4808,780,219
4808,781,220
4808,782,220
4808,783,220
4808,784,220
4808,785,220
4808,786,220
4808,787,220
4808,788,220
4808,789,220
4808,790,220
4808,791,220
4808,792,220
4808,793,220
4808,794,220
4808,795,220
4808,796,220
4808,797,220
4808,798,220
4808,799,220
4808,800,220
4808,801,220
4808,802,220
4808,803,220
4808,804,220
4808,805,220
4808,806,220
4808,807,220
4808,808,220
4808,809,220
4808,810,221
4808,811,222
4808,812,222
4808,813,222
4808,814,222
4808,815,223
4808,816,223
4808,817,223
4808,818,224
4808,819,224
4808,820,224
4808,821,224
4808,822,224
4808,823,224
4808,824,224
4808,825,224
4808,826,224
4808,827,224
4808,828,224
4808,829,224
4808,830,224
4808,831,224
4808,832,224
4808,833,224
4808,834,224
4808,835,224
4808,836,224
4808,837,224
4808,838,224
4808,839,224
4808,840,224
4808,841,224
4808,842,224
4808,843,224
4808,844,224
4808,845,224
4808,846,224
4808,847,224
4808,848,224
4808,849,224
4808,850,224
4808,851,224
4808,852,225
4808,853,225
4808,854,225
4808,855,225
4808,856,226
4808,857,226
4808,858,226
4808,859,227
4808,860,227
4808,861,227
4808,862,227
4808,863,227
4808,864,227
4808,865,227
4808,866,228
4808,867,228
4808,868,228
4808,869,228
4808,870,228
4808,871,228
4808,872,228
4808,873,228
4808,874,228
4808,875,228
4808,876,228
4808,877,228
4808,878,228
4808,879,229
4808,880,229
4808,881,229
4808,882,229
4808,883,229
4808,884,229
4808,885,229
4808,886,230
4808,887,230
4808,888,231
4808,889,232
4808,890,233
4808,891,233
4808,892,234
4808,893,234
4808,894,234
4808,895,234
4808,896,234
4808,897,234
4808,898,234
4808,899,235
4808,900,235
4808,901,235
4808,902,235
4808,903,235
4808,904,235
4808,905,235
4808,906,236
4808,907,237
4808,908,237
4808,909,237
4808,910,237
4808,911,237
4808,912,237
4808,913,237
4808,914,237
4808,915,237
4808,916,237
4808,917,237
4808,918,237
4808,919,237
4808,920,237
4808,921,237
4808,922,237
4808,923,237
4808,924,237
4808,925,237
4808,926,237
4808,927,237
4808,928,237
4808,929,238
4808,930,239
4808,931,239
4808,932,239
4808,933,239
4808,934,239
4808,935,239
4808,936,239
4808,937,239
4808,938,239
4808,939,239
4808,940,240
4808,941,240
4808,942,240
4808,943,240
4808,944,241
4808,945,241
4808,946,241
4808,947,242
4808,948,242
4808,949,242
4808,950,242
4808,951,242
4808,952,242
4808,953,242
4808,954,242
4808,955,242
4808,956,243
4808,957,243
4808,958,243
4808,959,243
4808,960,244
4808,961,244
4808,962,244
4808,963,244
4808,964,244
4808,965,244
4808,966,244
4808,967,244
4808,968,244
4808,969,244
4808,970,244
4808,971,244
4808,972,244
4808,973,244
4808,974,244
4808,975,244
4808,976,244
4808,977,244
4808,978,244
4808,979,244
4808,980,244
4808,981,244
4808,982,244
4808,983,244
4808,984,244
4808,985,244
4808,986,245
4808,987,245
4808,988,245
4808,989,245
4808,990,245
4808,991,245
4808,992,246
4808,993,246
4808,994,246
4808,995,246
4808,996,246
4808,997,246
4808,998,247
4808,999,247
4808,1000,247
4808,1001,247
4808,1002,247
4808,1003,247
4808,1004,247
4808,1005,247
4808,1006,247
4808,1007,247
4808,1008,247
4808,1009,247
4808,1010,247
4808,1011,247
4808,1012,247
4808,1013,247
4808,1014,247
4808,1015,247
4808,1016,247
4808,1017,247
4808,1018,248
4808,1019,248
4808,1020,248
4808,1021,249
4808,1022,250
4808,1023,250
4808,1024,250
4808,1025,250
4808,1026,250
4808,1027,250
4808,1028,251
4808,1029,251
4808,1030,251
4808,1031,251
4808,1032,251
4808,1033,252
4808,1034,252
4808,1035,252
4808,1036,252
4808,1037,252
