462789.batch|batch|COMPLETED|0:0|00:03:13|2026-09-25T12:44:21|2026-09-25T12:47:34||540856K|jingjie-cpu-14
462789.extern|extern|COMPLETED|0:0|00:03:13|2026-09-25T12:44:21|2026-09-25T12:47:34|||jingjie-cpu-14
462790|st_cg_r21_spatial_solar_parx_midday_free|COMPLETED|0:0|00:25:50|2026-09-25T12:44:21|2026-09-25T13:10:11|16G||jingjie-cpu-16
462790.batch|batch|COMPLETED|0:0|00:25:50|2026-09-25T12:44:21|2026-09-25T13:10:11||991316K|jingjie-cpu-16
462790.extern|extern|COMPLETED|0:0|00:25:50|2026-09-25T12:44:21|2026-09-25T13:10:11|||jingjie-cpu-16
462791|st_cl_r21_spatial_solar_parx_midday_free|RUNNING|0:0|00:20:24|2026-09-25T13:10:16|Unknown|16G||unicorn-cpu-75
462791.batch|batch|RUNNING|0:0|00:20:24|2026-09-25T13:10:16|Unknown|||unicorn-cpu-75
462791.extern|extern|RUNNING|0:0|00:20:24|2026-09-25T13:10:16|Unknown|||unicorn-cpu-75
462792|st_fx_r21_spatial_solar_parx_midday_free|COMPLETED|0:0|00:03:19|2026-09-25T12:44:21|2026-09-25T12:47:40|16G||jingjie-cpu-16
462792.batch|batch|COMPLETED|0:0|00:03:19|2026-09-25T12:44:21|2026-09-25T12:47:40||424936K|jingjie-cpu-16
462792.extern|extern|COMPLETED|0:0|00:03:19|2026-09-25T12:44:21|2026-09-25T12:47:40|||jingjie-cpu-16
462793|st_cg_r21_duck_spatial_parx_x0p50|COMPLETED|0:0|00:18:13|2026-09-25T12:44:21|2026-09-25T13:02:34|16G||jingjie-cpu-15
462793.batch|batch|COMPLETED|0:0|00:18:13|2026-09-25T12:44:21|2026-09-25T13:02:34||901180K|jingjie-cpu-15
462793.extern|extern|COMPLETED|0:0|00:18:14|2026-09-25T12:44:21|2026-09-25T13:02:35|||jingjie-cpu-15
462794|st_cl_r21_duck_spatial_parx_x0p50|COMPLETED|0:0|00:03:49|2026-09-25T13:02:44|2026-09-25T13:06:33|16G||totient-cpu-08
462794.batch|batch|COMPLETED|0:0|00:03:49|2026-09-25T13:02:44|2026-09-25T13:06:33||535376K|totient-cpu-08
462794.extern|extern|COMPLETED|0:0|00:03:49|2026-09-25T13:02:44|2026-09-25T13:06:33|||totient-cpu-08
462795|st_fx_r21_duck_spatial_parx_x0p50|COMPLETED|0:0|00:03:49|2026-09-25T12:44:21|2026-09-25T12:48:10|16G||jingjie-cpu-16
462795.batch|batch|COMPLETED|0:0|00:03:49|2026-09-25T12:44:21|2026-09-25T12:48:10||522628K|jingjie-cpu-16
462795.extern|extern|COMPLETED|0:0|00:03:49|2026-09-25T12:44:21|2026-09-25T12:48:10|||jingjie-cpu-16
462796|st_cg_r21_duck_spatial_2190L_x0p50|COMPLETED|0:0|00:20:56|2026-09-25T12:44:21|2026-09-25T13:05:17|16G||jingjie-cpu-15
